Regions,Ethnic group (20 categories),Observation
East of England,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,48880
East of England,"White: English, Welsh, Scottish, Northern Irish or British",4972149
East of England,White: Irish,57964
East of England,White: Gypsy or Irish Traveller,8977
East of England,White: Roma,9675
East of England,White: Other White,429599
East of England,Other ethnic group: Arab,15639
East of England,Other ethnic group: Any other ethnic group,70593
London,"Asian, Asian British or Asian Welsh: Bangladeshi",322054
London,"Asian, Asian British or Asian Welsh: Chinese",147520
London,"Asian, Asian British or Asian Welsh: Indian",656272
London,"Asian, Asian British or Asian Welsh: Pakistani",290549
London,"Asian, Asian British or Asian Welsh: Other Asian",401245
London,"Black, Black British, Black Welsh, Caribbean or African: African",697054
London,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",345405
London,"Black, Black British, Black Welsh, Caribbean or African: Other Black",145911
London,Mixed or Multiple ethnic groups: White and Asian,125188
London,Mixed or Multiple ethnic groups: White and Black African,77341
London,Mixed or Multiple ethnic groups: White and Black Caribbean,132555
London,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,170691
London,"White: English, Welsh, Scottish, Northern Irish or British",3239281
London,White: Irish,156333
London,White: Gypsy or Irish Traveller,7031
London,White: Roma,37689
London,White: Other White,1290838
London,Other ethnic group: Arab,139791
London,Other ethnic group: Any other ethnic group,416977
South East,"Asian, Asian British or Asian Welsh: Bangladeshi",39881
South East,"Asian, Asian British or Asian Welsh: Chinese",64329
South East,"Asian, Asian British or Asian Welsh: Indian",241537
South East,"Asian, Asian British or Asian Welsh: Pakistani",145311
South East,"Asian, Asian British or Asian Welsh: Other Asian",159487
South East,"Black, Black British, Black Welsh, Caribbean or African: African",150540
South East,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",43523
South East,"Black, Black British, Black Welsh, Caribbean or African: Other Black",27521
South East,Mixed or Multiple ethnic groups: White and Asian,88106
South East,Mixed or Multiple ethnic groups: White and Black African,38633
South East,Mixed or Multiple ethnic groups: White and Black Caribbean,62087
South East,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,72045
South East,"White: English, Welsh, Scottish, Northern Irish or British",7315058
South East,White: Irish,78219
South East,White: Gypsy or Irish Traveller,16748
South East,White: Roma,12786
South East,White: Other White,586569
South East,Other ethnic group: Arab,29574
South East,Other ethnic group: Any other ethnic group,106109
South West,"Asian, Asian British or Asian Welsh: Bangladeshi",12217
South West,"Asian, Asian British or Asian Welsh: Chinese",26516
South West,"Asian, Asian British or Asian Welsh: Indian",58847
South West,"Asian, Asian British or Asian Welsh: Pakistani",17432
South West,"Asian, Asian British or Asian Welsh: Other Asian",44172
South West,"Black, Black British, Black Welsh, Caribbean or African: African",43318
South West,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",17226
South West,"Black, Black British, Black Welsh, Caribbean or African: Other Black",9070
South West,Mixed or Multiple ethnic groups: White and Asian,34960
South West,Mixed or Multiple ethnic groups: White and Black African,15644
South West,Mixed or Multiple ethnic groups: White and Black Caribbean,33217
South West,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,30253
South West,"White: English, Welsh, Scottish, Northern Irish or British",5008149
South West,White: Irish,31698
South West,White: Gypsy or Irish Traveller,6382
South West,White: Roma,5785
South West,White: Other White,257594
South West,Other ethnic group: Arab,10302
South West,Other ethnic group: Any other ethnic group,38404
Wales,"Asian, Asian British or Asian Welsh: Bangladeshi",15314
Wales,"Asian, Asian British or Asian Welsh: Chinese",14454
Wales,"Asian, Asian British or Asian Welsh: Indian",21070
Wales,"Asian, Asian British or Asian Welsh: Pakistani",17534
Wales,"Asian, Asian British or Asian Welsh: Other Asian",20656
Wales,"Black, Black British, Black Welsh, Caribbean or African: African",19907
Wales,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",3700
Wales,"Black, Black British, Black Welsh, Caribbean or African: Other Black",3947
Wales,Mixed or Multiple ethnic groups: White and Asian,14035
Wales,Mixed or Multiple ethnic groups: White and Black African,8068
Wales,Mixed or Multiple ethnic groups: White and Black Caribbean,13732
Wales,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,12763
Wales,"White: English, Welsh, Scottish, Northern Irish or British",2814247
Wales,White: Irish,13214
Wales,White: Gypsy or Irish Traveller,3550
Wales,White: Roma,1843
Wales,White: Other White,82994
Wales,Other ethnic group: Arab,11641
Wales,Other ethnic group: Any other ethnic group,14825
